Configuration,Term,J,Level (eV),Uncertainty (eV),Reference
"=""1s2.2p.11d""","=""1P*""","=""1""","="" 13.1728""","=""0.0006""","=""L9172"""
"=""1s2.2p.13s""","=""1P*""","=""1""","="" 13.188""","=""0.014""","=""L9172"""
"=""1s2.2p.12d""","=""1P*""","=""1""","="" 13.1899""","=""0.0006""","=""L9172"""
"=""1s2.2p.13d""","=""1P*""","=""1""","="" 13.2032""","=""0.0006""","=""L9172"""
"=""1s2.2p.14d""","=""1P*""","=""1""","="" 13.2140""","=""0.0006""","=""L9172"""
"=""1s2.2p.15d""","=""1P*""","=""1""","="" 13.2228""","=""0.0006""","=""L9172"""
"=""1s2.2p.16d""","=""1P*""","=""1""","="" 13.2301""","=""0.0006""","=""L9172"""
"=""Be II (2p 2P*<1/2>)""","=""Limit""","=""---""","="" 13.281358""","=""0.000007""","=""L9172"""
"=""Be II (2p 2P*<3/2>)""","=""Limit""","=""---""","="" 13.282174""","=""0.000007""","=""L9172"""
"=""1s2.3s.3p""","=""1P*""","=""1""","="" 17.684a""","=""0.012""","=""L9172"""
"=""1s2.3s.4p""","=""1P*""","=""1""","="" 18.834a""","=""0.015""","=""L9172"""
"=""1s2.3s.7p?""","=""1P*?""","=""1""","="" 19.797a""","=""0.016""","=""L9172"""
"=""1s2.3s.8p?""","=""1P*?""","=""1""","="" 19.914a""","=""0.016""","=""L9172"""
"=""1s2.3s.9p?""","=""1P*?""","=""1""","="" 19.994a""","=""0.016""","=""L9172"""
"=""1s2.3s.10p?""","=""1P*?""","=""1""","="" 20.046a""","=""0.016""","=""L9172"""
"=""Be II (3s 2S<1/2>)""","=""Limit""","=""---""","="" 20.26207""","=""0.00004""","=""L9172"""
"=""1s.2s2.2p""","=""3P*""","=""1""","="" 114.30a""","=""0.10""","=""L9172"""
"=""1s.2s2.2p""","=""3P*""","=""2""","="" 114.30a""","=""0.10""","=""L9172"""
"=""1s.2s2.2p""","=""3P*""","=""0""","="" 114.30a""","=""0.10""","=""L9172"""
"=""1s.2s2.2p""","=""1P*""","=""1""","="" 115.47a""","=""0.05""","=""L9172"""
"=""1s.(2S).2s.2p2.(4P)""","=""5P""","=""2""","="" 115.53+x""","=""0.04""","=""L9172"""
"=""1s.(2S).2s.2p2.(4P)""","=""5P""","=""3""","="" 115.53+x""","=""0.04""","=""L9172"""
"=""1s.(2S).2s.2p2.(4P)""","=""5P""","=""1""","="" 115.53+x""","=""0.04""","=""L9172"""
"=""1s.(2S).2s.2p2.(4P)""","=""3P""","=""1""","="" 118.16a""","=""0.10""","=""L9172"""
"=""1s.(2S).2s.2p2.(4P)""","=""3P""","=""2""","="" 118.16a""","=""0.10""","=""L9172"""
