Configuration,Term,J,Level (eV),Uncertainty (eV),Reference
"=""2s2.2p3.(2D*).5f""","=""2[7/2]""","=""3""","="" 37.01763""","=""""","="""""
"=""2s2.2p3.(2D*).5f""","=""2[7/2]""","=""4""","="" 37.01778""","=""""","="""""
"=""2s2.2p3.(2D*).5f""","=""2[5/2]""","=""2""","="" 37.01863""","=""""","="""""
"=""2s2.2p3.(2D*).5f""","=""2[5/2]""","=""3""","="" 37.01873""","=""""","="""""
"=""2s2.2p3.(2D*).5f""","=""2[9/2]""","=""5""","="" 37.01916""","=""""","="""""
"=""2s2.2p3.(2D*).5f""","=""2[9/2]""","=""4""","="" 37.01918""","=""""","="""""
"=""2s2.2p3.(2D*).5g""","=""2[13/2]*""","=""6""","="" 37.01926""","=""""","="""""
"=""2s2.2p3.(2D*).5g""","=""2[13/2]*""","=""7""","="" 37.01926""","=""""","="""""
"=""2s2.2p3.(2D*).5f""","=""2[3/2]""","=""1""","="" 37.02050""","=""""","="""""
"=""2s2.2p3.(2D*).5f""","=""2[3/2]""","=""2""","="" 37.02059""","=""""","="""""
"=""2s2.2p3.(2D*).5g""","=""2[11/2]*""","=""6""","="" 37.02355""","=""""","="""""
"=""2s2.2p3.(2D*).5g""","=""2[11/2]*""","=""5""","="" 37.02355""","=""""","="""""
"=""2s2.2p3.(2P*).4f""","=""a""","=""3""","="" 37.951302""","=""""","="""""
"=""2s2.2p3.(2P*).4f""","=""a""","=""5""","="" 37.951577""","=""""","="""""
"=""2s2.2p3.(2P*).4f""","=""a""","=""4""","="" 37.951776""","=""""","="""""
"=""2s2.2p3.(2P*).4f""","=""a""","=""2""","="" 37.952416""","=""""","="""""
"=""2s2.2p3.(2P*).4f""","=""a""","=""1""","="" 37.953908""","=""""","="""""
"=""2s2.2p3.(2P*).4f""","=""b""","=""3""","="" 37.952518""","=""""","="""""
"=""2s2.2p3.(2P*).4f""","=""b""","=""4""","="" 37.952774""","=""""","="""""
"=""2s2.2p3.(2P*).4f""","=""b""","=""2""","="" 37.953484""","=""""","="""""
"=""2s2.2p3.(2P*).4f""","=""c""","=""2""","="" 37.953632""","=""""","="""""
"=""2s2.2p3.(2P*).4f""","=""c""","=""3""","="" 37.954296""","=""""","="""""
"=""2s2.2p3.(2P*).4f""","=""c""","=""4""","="" 37.954936""","=""""","="""""
"=""2s2.2p3.(2P*).4f""","=""d""","=""3""","="" 37.954742""","=""""","="""""
"=""2p6""","=""1S""","=""0""","="" 48.1059""","=""""","="""""
