Configuration,Term,J,Level (eV),Uncertainty (eV),Leading percentages,Reference
"=""3s2.3p3.(2D*).13s""","=""3D*""","=""2""","="" 12.0913""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*<5/2>).11f""","=""""","=""""","="" 12.09297""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*<3/2>).12f""","=""""","=""""","="" 12.10701""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).14s""","=""3D*""","=""1""","="" 12.1089""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).14s""","=""3D*""","=""3""","="" 12.1089""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).14s""","=""3D*""","=""2""","="" 12.1089""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*<5/2>).12f""","=""""","=""""","="" 12.11081""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*<3/2>).13f""","=""""","=""""","="" 12.12089""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).15s""","=""3D*""","=""3""","="" 12.1229""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).15s""","=""3D*""","=""2""","="" 12.1229""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).15s""","=""3D*""","=""1""","="" 12.1229""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*<5/2>).13f""","=""""","=""""","="" 12.12491""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*<3/2>).14f""","=""""","=""""","="" 12.13203""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).16s""","=""3D*""","=""3""","="" 12.134""","=""0.012""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).16s""","=""3D*""","=""2""","="" 12.134""","=""0.012""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).16s""","=""3D*""","=""1""","="" 12.134""","=""0.012""","=""                                            ""","="""""
"=""3s2.3p3.(2D*<5/2>).14f""","=""""","=""""","="" 12.13619""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*<3/2>).15f""","=""""","=""""","=""[12.14120]""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).17s""","=""3D*""","=""2""","="" 12.143""","=""0.012""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).17s""","=""3D*""","=""1""","="" 12.143""","=""0.012""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).17s""","=""3D*""","=""3""","="" 12.143""","=""0.012""","=""                                            ""","="""""
"=""3s2.3p3.(2D*<5/2>).15f""","=""""","=""""","="" 12.14510""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*<3/2>).16f""","=""""","=""""","="" 12.14865""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*<5/2>).16f""","=""""","=""""","="" 12.15256""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*<3/2>).17f""","=""""","=""""","="" 12.15470""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).19s""","=""3D*""","=""2""","="" 12.1569""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).19s""","=""3D*""","=""1""","="" 12.1569""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).19s""","=""3D*""","=""3""","="" 12.1569""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*<5/2>).17f""","=""""","=""""","="" 12.15862""","=""""","=""                                            ""","="""""
